Diono SKU,Description,1-Oct,Lead Times for NEW orders
Diono Car Seats,,,
16615,Radian R100 Stone,In-Stock,
16610,Radian R100 Dune,Out Of Stock,3 Weeks
16715,Radian R120 Shadow,In-Stock,2 Weeks
16710,Radian R120 Rugby,Out Of Stock,N/A
no new orders on R120 Rugby.  2 weeks to fill in-house orders,,,
16720,Radian R120 Daytona,Out Of Stock,3 Weeks
16725,Radian R120 Storm,Out Of Stock,4 Weeks
16910,Radian RXT Plum,Out Of Stock,4 Weeks
16920,Radian RXT Daytona,Out Of Stock,3 Weeks
16935,Radian RXT Spring,Out Of Stock,Disco'd
no new orders on RXT Spring,,,
16915,Radian RXT Cobalt,Out Of Stock,4 Weeks
16925,Radian RXT Rugby,Out Of Stock,
no new orders on RXT Rugby,,,
16940,Radian RXT Storm,In-Stock,
16930,Radian RXT Shadow,In-Stock,
15077,Monterey Shadow,In-Stock,
15074,Monterey Pink,In-Stock,
15073,Monterey Grey,In-Stock,
15076,Monterey Red,In-Stock,
15071,Monterey Blue,In-Stock,
15075,Monterey Purple,In-Stock,
Accessories,,,
Diono SKU,Description,Status,ETA
40270,Bag It,In-Stock,
40395,Buggy Buddy,In-Stock,
40545,Buggy Hooks,In-Stock,
40552,Buggy Shade - Black (UPF 20),In-Stock,
40320,Change 'n Go,In-Stock,
40100,Cool Shade,In-Stock,
60240,Cup Caddy,In-Stock,
60260,Double Rain Cover,In-Stock,
40400,Dry Seat,In-Stock,
40110,Easy View,In-Stock,
40120,Grip It,In-Stock,
60160,Head Support - Grey,In-Stock,
60175,Head Support - Ivory,In-Stock,
40312,Insect Net,In-Stock,
40256,Lock Tite,In-Stock,
40001,Mighty-Tite,In-Stock,
60050,Pop Up Trash Bin,In-Stock,
60320,Radian Angle Adjuster,In-Stock,
60245,Radian Cup Caddy,In-Stock,
40295,Radian Shoulder Strap,In-Stock,
40609,Radian Travel Bag,In-Stock,
60255,Rain Cover,In-Stock,
60025,Seatbelt Pillow - Grey,In-Stock,
60030,Seatbelt Pillow - Pink,In-Stock,
40300,See Me Mirror,In-Stock,
60035,Shade Maker Canopy,In-Stock,
40140,Sit Rite,In-Stock,
60310,Sleep 'n Shade,In-Stock,
60250,Soft Wraps - Black,In-Stock,
60325,Solar Max,In-Stock,***NEW***
60330,Solar Max (2 Pack),In-Stock,***NEW***
40245,Stow 'n Go,In-Stock,
60285,Stroll Lock,In-Stock,
40230,Stuff 'n Scuff,In-Stock,
40310,Sun Net,In-Stock,
40280,Sun Stop,In-Stock,
40275,Sun Stoppers (2 pack),In-Stock,
40180,Super Lock,In-Stock,
40500,Super Mat,In-Stock,15-Dec
40175,Sure Steps,In-Stock,
40305,Travel Pal,In-Stock,
60275,Travel Wipes,In-Stock,
60225,Trio,In-Stock,
40239,Ultra Mat,In-Stock,
40190,Warm 'n Go,In-Stock,
60140,2-in-1 Head Support - Grey,Out Of Stock,Disco'd
60155,2-in-1 Head Support - Ivory,Out Of Stock,Disco'd
40340,Buggy Bag,Out Of Stock,Disco'd
60070,Buggy Tray,Out Of Stock,Disco'd
40540,Child Harness,Out Of Stock,Disco'd
60235,Hold Me Handle,Out Of Stock,Disco'd
60006,Hug Me Travel Pillow - Blue/Grey,Out Of Stock,Disco'd
60005,Hug Me Travel Pillow - Pink/Brown,Out Of Stock,Disco'd
40430,Monterey Carry Bag,Out Of Stock,Disco'd
60230,My Light,Out Of Stock,Disco'd
60015,My Stuff,Out Of Stock,Disco'd
60045,Organizer & Cooler,Out Of Stock,Disco'd
60195,Seat Roller,Out Of Stock,Disco'd
60020,Seat Warmer,Out Of Stock,Disco'd
40220,Side Rider,Out Of Stock,Disco'd
40252,Solar Max (2 Pack),Out Of Stock,Disco'd
60210,Space Maker,Out Of Stock,Disco'd
60220,Stroller Pack,Out Of Stock,Disco'd
60190,Stroller Roller,Out Of Stock,Disco'd
60200,Stroller Strap,Out Of Stock,Disco'd
60280,Summer Seat Cover,Out Of Stock,Disco'd
40330,Travel Bag,Out Of Stock,Disco'd
60270,Travel Feeding Tray,Out Of Stock,Disco'd
16915,Radian RXT Trekk,Out Of Stock,Disco'd
